CensusTract,POP2010,TractSNAP,MedianFamilyIncome,Assigned_Supermarkets
6025010101,4601,17,37333,1.0
6025010102,5007,458,30703,1.0
6025010200,2640,170,34038,1.0
6025010300,933,26,66484,1.0
6025010400,7162,840,30373,1.0
6025010500,6593,254,52116,1.0
6025010600,6998,92,76979,1.0
6025010700,4322,356,31124,1.0
6025010800,1368,27,73333,1.0
6025010900,6755,368,36782,1.0
6025011000,12047,230,75718,1.0
6025011100,3685,102,48814,1.0
6025011201,6043,162,78021,1.0
6025011202,5444,442,30494,1.0
6025011300,10460,373,49232,1.0
6025011400,4580,495,28191,1.0
6025011500,6232,520,26111,1.0
6025011600,6310,438,33922,1.0
6025011700,4797,122,62303,1.0
6025011801,3821,63,94323,1.0
6025011802,4870,312,52548,1.0
6025011803,5937,66,98600,0.0
6025011900,10966,334,48792,1.0
6025012001,3831,379,32791,1.0
6025012002,9678,294,54250,1.0
6025012100,6937,623,21792,1.0
6025012200,7804,485,40088,1.0
6025012301,5633,77,45833,1.0
6025012302,4756,291,30313,1.0
6025012400,1266,25,38098,1.0
6025940000,3052,111,39659,1.0
